date,ticker,open,high,low,close,volume
2024-01-02,AAPL,100.0,102.0,99.5,101.0,1000000
2024-01-03,AAPL,101.0,103.5,100.5,103.0,1100000
2024-01-03,AAPL,101.0,103.5,100.5,103.0,1100000
2024-01-04,AAPL,103.0,104.0,101.0,,950000
2024-01-08,AAPL,102.5,105.0,102.0,104.5,1200000
01/05/2024,AAPL,104.5,106.0,103.5,105.0,1050000
2024-01-09,AAPL,105.0,52.5,52.0,52.5,1300000
2024-01-10,AAPL,52.5,53.5,51.5,53.0,0
2024-01-11,AAPL,53.0,54.0,52.5,-1.0,980000
2024-01-02,MSFT,300.0,303.0,299.0,302.0,800000
2024-01-03,MSFT,302.0,305.0,301.0,304.0,820000
2024-01-04,MSFT,304.0,306.0,302.5,305.5,810000
2024-01-08,MSFT,305.5,308.0,304.0,307.0,790000
2024-01-09,MSFT,307.0,309.5,306.0,308.5,805000
2024-01-10,MSFT,308.5,311.0,307.5,310.0,815000
2024-01-11,MSFT,310.0,312.5,309.0,311.5,825000
2024-01-12,MSFT,311.5,313.0,310.5,312.0,830000
